"序号","来源","来源单位负责人","文件名","操作时间","创建时间","SHA256哈希值","SM3哈希值","文件大小","校验人","校验时间","校验人GPG公钥ID","校验人GPG密钥创建时间","获取公钥路径"
"1","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000200-起诉书正本.jpg","2025年8月27日  12:12:05","2020年12月14日  15:15:54","F502B15E15C4814AD7780852EC5A54D51F69391733731B4A7C537A3F85E624AB","9B78218515350868EF7D4F498CFC344005238EE2C496DE3426AE9CA536DCD219","705.19 KB","王贵平","2025年9月10日  09:35:09","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"2","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000500-换押证.jpg","2025年8月27日  12:12:11","2020年12月14日  15:50:46","1F99E4705E1019BBD38D8ED8DC692774BDCD8AF74552D6EC59DC9D6D3E44BEA1","3506AA188F8EA2DA32E73FCEC128C2A44773603CB50D4AB1A90BA6235A665E4F","509.72 KB","王贵平","2025年9月10日  09:35:09","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"3","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000400-量刑建议书.jpg","2025年8月27日  12:12:11","2020年12月14日  15:53:06","352A5FA6DCDED4E6D9B8AE3E214DF36DB9C39FC19ECBE1B0DF6D8A8381039A0D","0752D0920325351D81FB1E9B7C8E42994D07EA5F98236AD27D0F603300618943","624.96 KB","王贵平","2025年9月10日  09:35:09","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"4","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000300-起诉书正本.jpg","2025年8月27日  12:12:05","2020年12月14日  16:00:44","883FDF65E522EB57B8B67F45E6C0805B311A16485D11A3A5970986C9382F3EDF","FDB8A89C11725A089E65A1DDF68A91D5052182AD5FD6806CC8A26F34B2295B22","692.05 KB","王贵平","2025年9月10日  09:35:09","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"5","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001100-送达起诉书副本笔录.jpg","2025年8月27日  12:12:12","2020年12月14日  16:13:46","5DF257DA8BDDCC909591A9C900CA62E9348DF24850355CA1B10D7E03EA1070EC","C4908410B7E5D373BE682D0A9743D43FD2A1839D2830F4B2B75744CD9ED6BCB4","492.39 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"6","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","001000-送达起诉书副本笔录.jpg","2025年8月27日  12:12:12","2020年12月14日  16:16:44","5EB04ABBE3C3FE93A018B78BE851DB5E80DC233BEE716429F221EA411F4706CC","4EC906079983601EC411642FD9DE6ADC68FC8713C888330BE81607B6FD30A0DB","679.00 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"7","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000900-送达起诉书副本笔录.jpg","2025年8月27日  12:12:12","2020年12月14日  16:21:48","FEEADA431F37ED9683E98CF681BEFE1D6660C5FE00102A72E2C0832EFB780363","ACEBFD4AF094A186F1CFBDA424C6DB71CFC2103B596BAF004FF3C0C0CA2BC4D5","705.42 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"8","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000800-换押证.jpg","2025年8月27日  12:12:11","2020年12月14日  16:26:04","FB34FF56F95CB019720FE8F95230A9C5843E8813C4D64C39C26C6F9E6BC0DD1B","AB06A2D346853218D45A00031DEB60AC9BF14E93E3FA94C3D2173AFD2C92A9D2","460.79 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"9","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000700-换押证.jpg","2025年8月27日  12:12:11","2020年12月14日  16:27:44","4257FA1F5EE89F9D922732E54A692C6F713908C86EF093EDE21BB12C32BC6462","69FEBE956EE61C2881690B29AB6AF096B0C5F30ABEB3707F3047B25D846B9768","439.80 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
"10","贵阳市云岩区人民法院档案室","贵阳市云岩区人民法院档案室相关档案负责人","000600-换押证.jpg","2025年8月27日  12:12:11","2020年12月14日  16:32:06","473F5916B5915A57060FAB8EB6F18ACAFC47B8B2E65ADD2F0E20AFBBE74A9FC9","70B59C2701F140D5E12E77E382B3B37159ADB9A5911F9201ECEF1D57C3AFB647","524.36 KB","王贵平","2025年9月10日  09:35:10","15977DCF1A61ECA784CCF3F141FFD57D15150144","2025年8月28日  00:58:15","https://keyserver.ubuntu.com/pks/lookup?search=15977DCF1A61ECA784CCF3F141FFD57D15150144&fingerprint=on&op=index"
